"ID";"a1.trabajo";"a2.contrato";"a3.empleador";"a4.areatrabajo";"a5.precovid";"a6.motivo";"a7.busca";"a8.modalidad";"a9.carga";"a10.situacion";"a11.desempeño";"b1.estudio";"b2.material";"b2.dejar";"b2.adapta";"b2.internet";"b2.institucion";"b2.profes";"b2.compu";"c1.barrer";"c1.basura";"c1.cocinar";"c1.adultos";"c1.mascotas";"c1.niñxs";"c1.loza";"c1.ropa";"c1.baños";"c1.ordenar";"c1.compras";"c2.internet";"c2.patio";"c2.nhabs";"c2.equipos";"c2.thabs";"c2.ubicacion";"c3.npersonas";"c4.habitantes";"c4.abuelxs";"c4.amigxs";"c4.arrendatarixs";"c4.pareja";"c4.hermanxs";"c4.padres";"c4.hijxs";"c4.otrxs";"c5.aumento";"c5.mujeres";"c5.gusta";"c5.apoyo";"c5.tiempo";"c5.unicx";"c6.nhijxs";"c7.recreacion";"c7.union";"c7.tiempo";"c7.comunicacion";"c7.confianza";"c7.preocupacion";"c7.conflictos";"d1.angustia";"d1.ansiedad";"d1.estres";"d1.frustracion";"d1.incertidumbre";"d1.enojo";"d1.miedo";"d1.soledad";"d1.tristeza";"d2.atencion";"d3.farmacos";"d4.tratamiento";"e1.pareja";"e2.cambio";"e3.enojos";"e3.lesionarme";"e3.golpes";"e3.gritos";"e3.terceros";"e3.humilla";"e3.insulta";"e3.respeto";"e3.peligro";"e4.conversa";"e5.denuncia1";"e6.institucion";"e6.carchi";"e7.violencia";"e8.denuncia2";"f1.moviliza";"f1.gobierno";"f1.justicia";"f1.ddhh";"f1.migra";"f1.policias";"f1.apoyos";"f1.expulsion";"f1.pensiones";"f1.apruebo";"sexo";"edad";"comunares";"paisnac";"regionnac";"estudios";"ingresos";"cambioingreso";"bonos";"bonos.caja";"bonos.ife";"bonos.minimo";"bonos.covid";"bonos.media";"bonos.none";"salir"
"1";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"Trabajo dependiente";"Renuncia";"No";NA;NA;NA;NA;"Educación universitaria";"De acuerdo";"Muy de acuerdo";"De acuerdo";"Muy de acuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"0 horas";"0 horas";"1-2 horas";"0 horas";"0 horas";"21 o más horas";"1-2 horas";"1-2 horas";"0 horas";"0 horas";"0 horas";"Regular";"Bueno";"Regular";"Regular";"Regular";"Malo";"4";"Cónyuge, pareja o conviviente;Hijo(s) y/o hija(s);Padre y/o madre";0;0;0;1;0;1;1;0;"De acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"1";"Disminuyó";"Disminuyó";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Aumentó";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Sí";"No";"No estaba en ningún tratamiento antes de la pandemia";"Convivente Civil";"Ha empeorado mucho";"Nunca";"Nunca";"Nunca";"Casi nunca";"Nunca";"Nunca";"Casi nunca";"Frecuentemente";"Casi nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";27;"Iquique";"Chile";"Tarapaca";"Universitaria incompleta";"No tuve ingresos";"Se han mantenido igual";NA;0;0;0;0;0;1;1
"2";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"En desacuerdo";"Muy de acuerdo";"De acuerdo";"Muy en desacuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"3-5 horas";"1-2 horas";"3-5 horas";"1-2 horas";"21 o más horas";"6-10 horas";"3-5 horas";"1-2 horas";"1-2 horas";"3-5 horas";"3-5 horas";"Malo";"Malo";"Regular";"Regular";"Regular";"Malo";"2";"Padre y/o madre";0;0;0;0;0;1;0;0;"Muy de acuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"0";"Disminuyó";"Se mantuvo igual";"Se mantuvo igual";"Disminuyó";"Se mantuvo igual";"Aumentó";"Aumentó";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Tal vez";"No";"Si, pero con algunas dificultades";"Pololeo o noviazgo";"Ha empeorado mucho";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Casi siempre";"Nunca";"Sí";"No";NA;0;"Sí";"No";"Absolutamente de acuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"Absolutamente de acuerdo";"Muy de acuerdo";"Absolutamente de acuerdo";"Mujer";21;"Alto Hospicio";"Chile";"Araucania";"Universitaria incompleta";"No tuve ingresos";"Se han mantenido igual";NA;0;0;0;0;0;1;2
"3";"Trabajo dependiente";"Planta o Contrata (estatuto administrativo)";"Estatal";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Se ha mantenido igual";"Buena";"En desacuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"3-5 horas";"1-2 horas";"1-2 horas";"0 horas";"6-10 horas";"6-10 horas";"1-2 horas";"3-5 horas";"1-2 horas";"1-2 horas";"1-2 horas";"Bueno";"Regular";"Bueno";"Bueno";"Bueno";"Bueno";"3";"Cónyuge, pareja o conviviente;Padre y/o madre";0;0;0;1;0;1;0;0;"De acuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"2";"Disminuyó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"A veces";"A veces";"Casi nunca";"Nunca";"Siempre";"Nunca";"A veces";"Nunca";"A veces";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Matrimonio";"Ha mejorado mucho";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";44;"Iquique";"Chile";"Metropolitana";"Postgrado";"$750.000 - $1.500.000";"Se han mantenido igual";NA;0;0;0;0;0;1;1
"4";"Trabajo independiente o por cuenta propia";"No tengo contrato de trabajo";"Hogar particular";NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"1-2 horas";"1-2 horas";"0 horas";"0 horas";"21 o más horas";"1-2 horas";"1-2 horas";"1-2 horas";"3-5 horas";"3-5 horas";"Regular";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"3";"Hijo(s) y/o hija(s);Padre y/o madre";0;0;0;0;0;1;1;0;"Muy de acuerdo";"Muy en desacuerdo";"Muy de acuerdo";"De acuerdo";"En desacuerdo";"Muy de acuerdo";"4";"Se mantuvo igual";"Aumentó";"Aumentó";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Disminuyó";"Casi nunca";"Frecuentemente";"Casi nunca";"A veces";"A veces";"A veces";"Nunca";"Nunca";"Casi nunca";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"No he estado en una relación de pareja durante los últimos tres meses";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"No";NA;"Muy de acuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"De acuerdo";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"De acuerdo";"De acuerdo";"Mujer";31;"Huara";"Chile";"Metropolitana";"Universitaria incompleta";"$300.000 - $450.000";"Se han mantenido igual";"Ingreso familiar de emergencia;Bono Covid-19";0;1;0;1;0;0;7
"5";"Trabajo independiente o por cuenta propia";"No tengo contrato de trabajo";"Hogar particular";NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"De acuerdo";"En desacuerdo";"Muy de acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"3-5 horas";"1-2 horas";"11-20 horas";"21 o más horas";"21 o más horas";"21 o más horas";"11-20 horas";"1-2 horas";"1-2 horas";"11-20 horas";"3-5 horas";"Bueno";"Malo";"Bueno";"Bueno";"Bueno";"Regular";"3";"Cónyuge, pareja o conviviente;Abuelo(s) y/o abuela(s)";1;0;0;1;0;0;0;0;"Muy de acuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"1";"Se mantuvo igual";"Aumentó";"Disminuyó";"Aumentó";"Aumentó";"Se mantuvo igual";"Disminuyó";"Casi nunca";"Siempre";"Siempre";"Siempre";"Siempre";"Nunca";"Casi nunca";"Nunca";"Siempre";"Sí";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"Sí";"Sí";"Absolutamente de acuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"Absolutamente en desacuerdo";"De acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";31;"Iquique";"Chile";"Tarapaca";"Universitaria incompleta";"$150.000 - $300.000";"Han disminuido fuertemente";"Ingreso familiar de emergencia;Caja familiar (mercadería)";1;1;0;0;0;0;2
"6";"Trabajo independiente o por cuenta propia";"No tengo contrato de trabajo";"Hogar particular";NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"Muy de acuerdo";"De acuerdo";"Muy de acuerdo";"1-2 horas";"0 horas";"1-2 horas";"0 horas";"3-5 horas";"0 horas";"0 horas";"1-2 horas";"0 horas";"1-2 horas";"1-2 horas";"Bueno";"Bueno";"Regular";"Regular";"Regular";"Regular";"5 o más";"Hermano(s) y/o hermana(s)";0;0;0;0;1;0;0;0;"En desacuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"0";"Disminuyó";"Disminuyó";"Se mantuvo igual";"Se mantuvo igual";"Disminuyó";"Se mantuvo igual";"Se mantuvo igual";"Nunca";"Nunca";"Nunca";"A veces";"Nunca";"Nunca";"Nunca";"A veces";"Casi nunca";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"No he estado en una relación de pareja durante los últimos tres meses";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"No";NA;"Muy en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"Hombre";27;"Alto Hospicio";"Chile";"Arica";"Universitaria completa";"$150.000 - $300.000";"Han disminuido fuertemente";"Ingreso familiar de emergencia;Bono Covid-19";0;1;0;1;0;0;3
"7";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"Muy de acuerdo";"En desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"Muy de acuerdo";"1-2 horas";"0 horas";"0 horas";"0 horas";"3-5 horas";"0 horas";"1-2 horas";"0 horas";"0 horas";"1-2 horas";"1-2 horas";"Excelente";"Excelente";"Excelente";"Excelente";"Regular";"Regular";"3";"Hijo(s) y/o hija(s);Hermano(s) y/o hermana(s)";0;0;0;0;1;0;1;0;"En desacuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"0";"Disminuyó";"Se mantuvo igual";"Se mantuvo igual";"Disminuyó";"Se mantuvo igual";"Disminuyó";"Aumentó";"Frecuentemente";"A veces";"Frecuentemente";"A veces";"Frecuentemente";"A veces";"Frecuentemente";"Frecuentemente";"Casi nunca";"Sí";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Ha empeorado mucho";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"Nunca";"Sí";"No";NA;0;"No";NA;"Absolutamente en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Hombre";18;"Alto Hospicio";"Chile";"Tarapaca";"Universitaria incompleta";"No tuve ingresos";"Han aumentado levemente";"Ingreso familiar de emergencia;Bono Covid-19;Caja familiar (mercadería)";1;1;0;1;0;0;0
"8";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente presencial";"Se ha mantenido igual";"Buena";"De acuerdo";"Educación técnica";"En desacuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"Muy de acuerdo";"3-5 horas";"3-5 horas";"3-5 horas";"0 horas";"3-5 horas";"0 horas";"3-5 horas";"3-5 horas";"3-5 horas";"3-5 horas";"3-5 horas";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"5 o más";"Cónyuge, pareja o conviviente;Hermano(s) y/o hermana(s);Padre y/o madre";0;0;0;1;1;1;0;0;"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"0";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Disminuyó";"Disminuyó";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Sí";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Ha empeorado mucho";"Nunca";"Nunca";"Nunca";"A veces";"Nunca";"Casi nunca";"A veces";"A veces";"Nunca";"No";"No";NA;0;"Sí";"No";"Absolutamente de acuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"Absolutamente de acuerdo";"Muy de acuerdo";"Absolutamente de acuerdo";"Mujer";24;"Huara";"Chile";"Tarapaca";"Universitaria incompleta";"$450.000 - $750.000";"Han disminuido levemente";NA;0;0;0;0;0;1;0
"9";"Trabajo independiente o por cuenta propia";"No tengo contrato de trabajo";"Hogar particular";NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"En desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"1-2 horas";"1-2 horas";"3-5 horas";"3-5 horas";"6-10 horas";"6-10 horas";"3-5 horas";"6-10 horas";"1-2 horas";"1-2 horas";"1-2 horas";"Bueno";"Bueno";"Regular";"Bueno";"Regular";"Bueno";"5 o más";"Hijo(s) y/o hija(s);Hermano(s) y/o hermana(s);Padre y/o madre;Abuelo(s) y/o abuela(s)";1;0;0;0;1;1;1;0;"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"1";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Frecuentemente";"Siempre";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Tal vez";"No";"No estaba en ningún tratamiento antes de la pandemia";"No he estado en una relación de pareja durante los últimos tres meses";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Sí";"No";"Muy de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy de acuerdo";"Mujer";27;"Iquique";"Chile";"Tarapaca";"Universitaria incompleta";"Menos de $150.000";"Han disminuido levemente";"Ingreso familiar de emergencia";0;1;0;0;0;0;0
"10";"Empresa o negocio (individual o familiar)";"Independiente (dueño o socio de empresas, sociedades u otros negocios)";"Hogar particular";NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"En desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"1-2 horas";"1-2 horas";"3-5 horas";"0 horas";"1-2 horas";"1-2 horas";"1-2 horas";"0 horas";"1-2 horas";"3-5 horas";"1-2 horas";"Regular";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"4";"Hermano(s) y/o hermana(s);Padre y/o madre;Sobrinos";0;0;0;0;1;1;0;1;"En desacuerdo";"Muy en desacuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"0";"Se mantuvo igual";"Disminuyó";"Se mantuvo igual";"Disminuyó";"Disminuyó";"Se mantuvo igual";"Aumentó";"Frecuentemente";"A veces";"Frecuentemente";"Frecuentemente";"Frecuentemente";"A veces";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Tal vez";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Muy de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"De acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";20;"Alto Hospicio";"Chile";"Tarapaca";"Técnica completa";"No tuve ingresos";"Han disminuido fuertemente";"Caja familiar (mercadería)";1;0;0;0;0;0;0
